source,url,title,published_at,district,zone_name,latitude,longitude,incident_type,victim_age,severity,article_hour,article_day_of_week,matched_alias,match_score,match_type
Daily Star,https://www.thedailystar.net/news/crime-justice/news/mob-beats-man-death-barguna-4198186,Mob beats man to death in Barguna,2026-06-12T08:00:00,Barishal,Chowmatha,22.70497,90.37013,violence,,5,8,4,barishal,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/khulshi-oc-withdrawn-over-police-assault-nayeem-hasan-4198066,Khulshi OC withdrawn over police assault on Nayeem Hasan,2026-06-12T08:00:00,Chattogram,Lalkhan Bazar,22.3516,91.8182,violence,,4,8,4,lalkhan bazar,5,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/khulshi-oc-withdrawn-over-police-assault-nayeem-hasan-4198066,Khulshi OC withdrawn over police assault on Nayeem Hasan,2026-06-12T08:00:00,Chattogram,Khulshi,22.364,91.8064,violence,,4,8,4,khulshi,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/jubo-dal-leader-shot-dead-ctg-4198086,Jubo Dal leader shot dead in Ctg,2026-06-12T08:00:00,Chattogram,Pahartali,22.3678,91.7854,murder,,5,8,4,pahartali,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/outcry-cops-assault-natl-cricketer-4198136,Outcry as cops assault nat’l cricketer,2026-06-12T08:00:00,Chattogram,Lalkhan Bazar,22.3516,91.8182,violence,26.0,4,8,4,lalkhan bazar,5,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/outcry-cops-assault-natl-cricketer-4198136,Outcry as cops assault nat’l cricketer,2026-06-12T08:00:00,Chattogram,Khulshi,22.364,91.8064,violence,26.0,4,8,4,khulshi,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/rape-victim-arrested-trafficking-case-4198141,Rape victim arrested in trafficking case,2026-06-12T08:00:00,Bogura,Satmatha,25.733988,89.286492,sexual_violence,21.0,5,8,4,bogura,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/rape-victim-arrested-trafficking-case-4198141,Rape victim arrested in trafficking case,2026-06-12T08:00:00,Bogura,Charmatha,24.85098,89.37108,sexual_violence,21.0,5,8,4,bogura,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/rape-victim-arrested-trafficking-case-4198141,Rape victim arrested in trafficking case,2026-06-12T08:00:00,Bogura,Dhunat,24.85098,89.37108,sexual_violence,21.0,5,8,4,bogura,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/jubo-dal-leader-associate-arrested-over-rape-woman-narayanganj-4197886,"Jubo Dal leader, associate arrested over rape of woman in Narayanganj",2026-06-12T08:00:00,Narayanganj,Sonargaon,23.65,90.61667,sexual_violence,15.0,5,8,4,sonargaon,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/jubo-dal-leader-associate-arrested-over-rape-woman-narayanganj-4197886,"Jubo Dal leader, associate arrested over rape of woman in Narayanganj",2026-06-12T08:00:00,Narayanganj,Chashara,23.62502,90.49684,sexual_violence,15.0,5,8,4,narayanganj,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/jubo-dal-leader-associate-arrested-over-rape-woman-narayanganj-4197886,"Jubo Dal leader, associate arrested over rape of woman in Narayanganj",2026-06-12T08:00:00,Narayanganj,Fatullah,23.63816,90.49097,sexual_violence,15.0,5,8,4,narayanganj,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-beaten-mob-arrested-over-raping-daughter-attempting-rape-her-classmate-4197811,"Man beaten by mob, arrested over raping daughter, attempting to rape her classmate",2026-06-12T08:00:00,Jhenaidah,Jhenaidah Sadar,23.530615,89.172242,sexual_violence,42.0,5,8,4,jhenaidah sadar,5,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-beaten-mob-arrested-over-raping-daughter-attempting-rape-her-classmate-4197811,"Man beaten by mob, arrested over raping daughter, attempting to rape her classmate",2026-06-12T08:00:00,Jhenaidah,Kotchandpur,23.502088,89.122619,sexual_violence,42.0,5,8,4,jhenaidah,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-beaten-mob-arrested-over-raping-daughter-attempting-rape-her-classmate-4197811,"Man beaten by mob, arrested over raping daughter, attempting to rape her classmate",2026-06-12T08:00:00,Jhenaidah,Maheshpur,23.35291,88.91222,sexual_violence,42.0,5,8,4,jhenaidah,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-shot-dead-chattograms-raozan-4197691,Man shot dead in Chattogram's Raozan,2026-06-12T08:00:00,Chattogram,Pahartali,22.3678,91.7854,murder,,5,8,4,pahartali,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/2-cops-suspended-over-assault-cricketer-nayeem-hasan-cmp-chief-apologises-4197656,2 cops suspended over assault on cricketer Nayeem Hasan; CMP chief apologises,2026-06-12T08:00:00,Chattogram,Lalkhan Bazar,22.3516,91.8182,violence,,4,8,4,lalkhan bazar,5,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/2-cops-suspended-over-assault-cricketer-nayeem-hasan-cmp-chief-apologises-4197656,2 cops suspended over assault on cricketer Nayeem Hasan; CMP chief apologises,2026-06-12T08:00:00,Chattogram,Khulshi,22.364,91.8064,violence,,4,8,4,khulshi,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/top-criminal-palash-shot-city-4197441,‘Top criminal’ Palash shot in city,2026-06-12T08:00:00,Dhaka,New Market,23.7332,90.3857,murder,,5,8,4,new market,5,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/top-criminal-palash-shot-city-4197441,‘Top criminal’ Palash shot in city,2026-06-12T08:00:00,Dhaka,Rampura,23.7639,90.4217,murder,,5,8,4,rampura bridge,4,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/top-criminal-palash-shot-city-4197441,‘Top criminal’ Palash shot in city,2026-06-12T08:00:00,Dhaka,Badda,23.7801,90.426,murder,,5,8,4,badda,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/calls-grow-fresh-probe-kalpana-chakmas-abduction-4197541,Calls grow for fresh probe into Kalpana Chakma’s abduction,2026-06-12T08:00:00,Rangamati,Tabalchhari,22.758512,92.240249,kidnapping,,5,8,4,rangamati,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/calls-grow-fresh-probe-kalpana-chakmas-abduction-4197541,Calls grow for fresh probe into Kalpana Chakma’s abduction,2026-06-12T08:00:00,Rangamati,Bagaichhari,22.758512,92.240249,kidnapping,,5,8,4,rangamati,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/calls-grow-fresh-probe-kalpana-chakmas-abduction-4197541,Calls grow for fresh probe into Kalpana Chakma’s abduction,2026-06-12T08:00:00,Rangamati,Barkal,22.19816,91.96293,kidnapping,,5,8,4,rangamati,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/two-held-over-attack-motorcyclist-dhaka-4197546,Two held over attack on motorcyclist in Dhaka,2026-06-12T08:00:00,Dhaka,Sadarghat,23.7104,90.4074,violence,,5,8,4,Dhaka,0,district_fallback
Daily Star,https://www.thedailystar.net/news/crime-justice/news/two-held-over-attack-motorcyclist-dhaka-4197546,Two held over attack on motorcyclist in Dhaka,2026-06-12T08:00:00,Mymensingh,Sadar Upazila,24.7539,90.4073,violence,,5,8,4,Mymensingh,0,district_fallback
Daily Star,https://www.thedailystar.net/news/crime-justice/news/two-sent-jail-rape-attempted-rape-cases-4197366,"Two sent to jail in rape, attempted rape cases",2026-06-12T08:00:00,Gazipur,Kapasia,24.11404,90.56148,sexual_violence,14.0,5,8,4,kapasia,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/two-sent-jail-rape-attempted-rape-cases-4197366,"Two sent to jail in rape, attempted rape cases",2026-06-12T08:00:00,Netrokona,Kendua,24.66209,90.84303,sexual_violence,14.0,5,8,4,kendua,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/two-sent-jail-rape-attempted-rape-cases-4197366,"Two sent to jail in rape, attempted rape cases",2026-06-12T08:00:00,Gazipur,Konabari,24.126097,90.472114,sexual_violence,14.0,5,8,4,gazipur,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/moulvibazar-woman-gang-raped-home-2-accused-confess-police-4197246,Moulvibazar woman gang-raped at home; 2 accused confess: Police,2026-06-12T08:00:00,Moulvibazar,Moulvibazar Sadar,24.481265,91.858094,suspicious_activity,,2,8,4,moulvibazar sadar,5,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/moulvibazar-woman-gang-raped-home-2-accused-confess-police-4197246,Moulvibazar woman gang-raped at home; 2 accused confess: Police,2026-06-12T08:00:00,Moulvibazar,Barlekha,24.481265,91.858094,suspicious_activity,,2,8,4,moulvibazar,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/moulvibazar-woman-gang-raped-home-2-accused-confess-police-4197246,Moulvibazar woman gang-raped at home; 2 accused confess: Police,2026-06-12T08:00:00,Moulvibazar,Juri,24.531019,92.230029,suspicious_activity,,2,8,4,moulvibazar,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/2-arrested-over-brick-attack-motorcyclist-dhakas-shewrapara-4197141,2 arrested over brick attack on motorcyclist in Dhaka's Shewrapara,2026-06-12T08:00:00,Dhaka,Sadarghat,23.7104,90.4074,violence,,5,8,4,Dhaka,0,district_fallback
Daily Star,https://www.thedailystar.net/news/crime-justice/news/2-arrested-over-brick-attack-motorcyclist-dhakas-shewrapara-4197141,2 arrested over brick attack on motorcyclist in Dhaka's Shewrapara,2026-06-12T08:00:00,Mymensingh,Sadar Upazila,24.7539,90.4073,violence,,5,8,4,Mymensingh,0,district_fallback
Daily Star,https://www.thedailystar.net/news/crime-justice/news/attempted-break-reported-attorney-generals-office-supreme-court-area-4197096,Attempted break-in reported at attorney general’s office in Supreme Court area,2026-06-12T08:00:00,Dhaka,Shahbagh,23.738,90.3958,kidnapping,,5,8,4,shahbagh,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/listed-top-criminal-kailla-palash-shot-dhakas-hatirjheel-police-4197086,Listed top criminal 'Kailla Palash' shot in Dhaka's Hatirjheel: Police,2026-06-12T08:00:00,Dhaka,New Market,23.7332,90.3857,murder,15.0,5,8,4,new market,5,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/listed-top-criminal-kailla-palash-shot-dhakas-hatirjheel-police-4197086,Listed top criminal 'Kailla Palash' shot in Dhaka's Hatirjheel: Police,2026-06-12T08:00:00,Dhaka,Rampura,23.7639,90.4217,murder,15.0,5,8,4,rampura bridge,4,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-arrested-over-attempted-rape-disabled-girl-gazipur-4197011,Man arrested over attempted rape of disabled girl in Gazipur,2026-06-12T08:00:00,Gazipur,Kapasia,24.11404,90.56148,sexual_violence,14.0,5,8,4,kapasia,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-arrested-over-attempted-rape-disabled-girl-gazipur-4197011,Man arrested over attempted rape of disabled girl in Gazipur,2026-06-12T08:00:00,Gazipur,Konabari,24.126097,90.472114,sexual_violence,14.0,5,8,4,gazipur,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-arrested-over-attempted-rape-disabled-girl-gazipur-4197011,Man arrested over attempted rape of disabled girl in Gazipur,2026-06-12T08:00:00,Gazipur,Kaliakair,24.126097,90.472114,sexual_violence,14.0,5,8,4,gazipur,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/2-policemen-stabbed-dhaka-4196981,2 policemen stabbed in Dhaka,2026-06-12T08:00:00,Dhaka,Sadarghat,23.7104,90.4074,violence,,5,8,4,Dhaka,0,district_fallback
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-held-over-alleged-rape-woman-and-her-niece-jashore-4196376,Man held over alleged rape of a woman and her niece in Jashore,2026-06-12T08:00:00,Jashore,Chanchra,23.168306,89.210408,sexual_violence,16.0,5,8,4,chanchra,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-held-over-alleged-rape-woman-and-her-niece-jashore-4196376,Man held over alleged rape of a woman and her niece in Jashore,2026-06-12T08:00:00,Jashore,Bagharpara,24.045958,90.032723,sexual_violence,16.0,5,8,4,jashore,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-held-over-alleged-rape-woman-and-her-niece-jashore-4196376,Man held over alleged rape of a woman and her niece in Jashore,2026-06-12T08:00:00,Jashore,Jhikargacha,23.11134,89.09061,sexual_violence,16.0,5,8,4,jashore,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/madrasa-teacher-the-run-after-alleged-rape-knife-attack-student-munshiganj-4196361,"Madrasa teacher on the run after alleged rape, knife attack on student in Munshiganj",2026-06-12T08:00:00,Munshiganj,Tongibari,23.53395,90.484545,violence,14.0,5,8,4,tongibari,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/madrasa-teacher-the-run-after-alleged-rape-knife-attack-student-munshiganj-4196361,"Madrasa teacher on the run after alleged rape, knife attack on student in Munshiganj",2026-06-12T08:00:00,Bhola,Borhanuddin,22.68759,90.64403,violence,14.0,5,8,4,bhola,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/madrasa-teacher-the-run-after-alleged-rape-knife-attack-student-munshiganj-4196361,"Madrasa teacher on the run after alleged rape, knife attack on student in Munshiganj",2026-06-12T08:00:00,Bhola,Daulatkhan,22.68759,90.64403,violence,14.0,5,8,4,bhola,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/youth-arrested-over-rape-mentally-and-visually-impaired-girl-patuakhali-4196106,Youth arrested over rape of mentally and visually impaired girl in Patuakhali,2026-06-12T08:00:00,Patuakhali,Patuakhali Medical College,22.363157,90.327189,sexual_violence,14.0,5,8,4,patuakhali medical college,6,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/youth-arrested-over-rape-mentally-and-visually-impaired-girl-patuakhali-4196106,Youth arrested over rape of mentally and visually impaired girl in Patuakhali,2026-06-12T08:00:00,Patuakhali,Bauphal,22.41593,90.55943,sexual_violence,14.0,5,8,4,bauphal,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/youth-arrested-over-rape-mentally-and-visually-impaired-girl-patuakhali-4196106,Youth arrested over rape of mentally and visually impaired girl in Patuakhali,2026-06-12T08:00:00,Patuakhali,Dumki,22.47022,90.38309,sexual_violence,14.0,5,8,4,patuakhali,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/class-10-student-hacked-death-over-drug-dispute-noakhali-4196046,Class 10 student hacked to death over drug dispute in Noakhali,2026-06-12T08:00:00,Noakhali,Begumganj,23.0225,91.07472,violence,,5,8,4,begumganj,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/class-10-student-hacked-death-over-drug-dispute-noakhali-4196046,Class 10 student hacked to death over drug dispute in Noakhali,2026-06-12T08:00:00,Noakhali,Chowmuhani,22.816467,91.121505,violence,,5,8,4,noakhali,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/class-10-student-hacked-death-over-drug-dispute-noakhali-4196046,Class 10 student hacked to death over drug dispute in Noakhali,2026-06-12T08:00:00,Noakhali,Chatkhil,23.05241,90.97684,violence,,5,8,4,noakhali,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/case-filed-over-rape-mother-daughter-coxs-bazar-4195971,"Case filed over rape of mother, daughter in Cox’s Bazar",2026-06-12T08:00:00,Chattogram,GEC Circle,22.3597,91.8215,sexual_violence,7.0,5,8,4,Chattogram,0,district_fallback
Daily Star,https://www.thedailystar.net/news/crime-justice/news/masked-men-attack-dot-internet-office-dhakas-lalmatia-4195441,Masked men attack Dot Internet office in Dhaka’s Lalmatia,2026-06-12T08:00:00,Dhaka,Mohammadpur,23.7657,90.3589,violence,,5,8,4,mohammadpur,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/six-killed-kushtia-ict-verdict-case-against-hanif-3-others-any-day-4195241,"Six killed in Kushtia: ICT verdict in case against Hanif, 3 others any day",2026-06-12T08:00:00,Kushtia,Bheramara,24.02452,88.99234,murder,,5,8,4,kushtia,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/six-killed-kushtia-ict-verdict-case-against-hanif-3-others-any-day-4195241,"Six killed in Kushtia: ICT verdict in case against Hanif, 3 others any day",2026-06-12T08:00:00,Kushtia,Khoksa,23.9028,89.11943,murder,,5,8,4,kushtia,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/six-killed-kushtia-ict-verdict-case-against-hanif-3-others-any-day-4195241,"Six killed in Kushtia: ICT verdict in case against Hanif, 3 others any day",2026-06-12T08:00:00,Kushtia,Kumarkhali,23.86132,89.24197,murder,,5,8,4,kushtia,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/man-stabbed-death-another-critically-injured-chattogram-4195156,"Man stabbed to death, another critically injured in Chattogram",2026-06-12T08:00:00,Chattogram,GEC Circle,22.3597,91.8215,violence,,5,8,4,Chattogram,0,district_fallback
Daily Star,https://www.thedailystar.net/news/crime-justice/news/extortion-row-behind-billal-killing-police-4195066,Extortion row behind Billal killing: police,2026-06-12T08:00:00,Dhaka,Malibagh,23.7471,90.4146,murder,,5,8,4,mouchak,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/extortion-row-behind-billal-killing-police-4195066,Extortion row behind Billal killing: police,2026-06-12T08:00:00,Munshiganj,Tongibari,23.53395,90.484545,murder,,5,8,4,munshiganj,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/extortion-row-behind-billal-killing-police-4195066,Extortion row behind Billal killing: police,2026-06-12T08:00:00,Munshiganj,Gazaria,23.17886,89.97853,murder,,5,8,4,munshiganj,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/violence-against-women-children-3-die-after-fire-house-rape-murder-suspect-4194996,Violence against women & children: 3 die after fire at house of rape-murder suspect,2026-06-12T08:00:00,Pabna,Pabna Sadar,24.00644,89.2372,sexual_violence,16.0,5,8,4,pabna sadar,5,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/violence-against-women-children-3-die-after-fire-house-rape-murder-suspect-4194996,Violence against women & children: 3 die after fire at house of rape-murder suspect,2026-06-12T08:00:00,Pabna,Atgharia,24.48515,89.53493,sexual_violence,16.0,5,8,4,pabna,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/violence-against-women-children-3-die-after-fire-house-rape-murder-suspect-4194996,Violence against women & children: 3 die after fire at house of rape-murder suspect,2026-06-12T08:00:00,Pabna,Bera,24.07821,89.63262,sexual_violence,16.0,5,8,4,pabna,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/violence-against-women-children-mother-teenage-daughter-raped-during-robbery-4195001,"Violence against women & children: Mother, teenage daughter raped during robbery",2026-06-12T08:00:00,Chattogram,GEC Circle,22.3597,91.8215,robbery,5.0,5,8,4,Chattogram,0,district_fallback
Daily Star,https://www.thedailystar.net/news/crime-justice/news/hc-summons-judge-over-delay-rape-murder-trial-4195016,"HC summons judge over delay in rape, murder trial",2026-06-12T08:00:00,Habiganj,Nabiganj,24.56667,91.51667,sexual_violence,17.0,5,8,4,nabiganj,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/hc-summons-judge-over-delay-rape-murder-trial-4195016,"HC summons judge over delay in rape, murder trial",2026-06-12T08:00:00,Habiganj,Bahubal,24.38044,91.413,sexual_violence,17.0,5,8,4,habiganj,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/hc-summons-judge-over-delay-rape-murder-trial-4195016,"HC summons judge over delay in rape, murder trial",2026-06-12T08:00:00,Habiganj,Chunarughat,24.38044,91.413,sexual_violence,17.0,5,8,4,habiganj,1,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/bullet-hit-body-recovered-floating-speedboat-padma-river-4194706,Bullet-hit body recovered from floating speedboat in Padma river,2026-06-12T08:00:00,Natore,Bagatipara,24.41112,88.98673,murder,,5,8,4,bagatipara,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/bullet-hit-body-recovered-floating-speedboat-padma-river-4194706,Bullet-hit body recovered from floating speedboat in Padma river,2026-06-12T08:00:00,Natore,Lalpur,24.41112,88.98673,murder,,5,8,4,lalpur,2,zone_alias
Daily Star,https://www.thedailystar.net/news/crime-justice/news/bullet-hit-body-recovered-floating-speedboat-padma-river-4194706,Bullet-hit body recovered from floating speedboat in Padma river,2026-06-12T08:00:00,Natore,Kanaikhali,24.412191,88.988952,murder,,5,8,4,natore,1,zone_alias
